Fact,"Merced County, California","Mendocino County, California","Mariposa County, California","Marin County, California","Madera County, California","Los Angeles County, California"
"With a disability, under age 65 years, percent, 2015-2019",9.10%,12.60%,15.00%,5.10%,8.70%,6.10%
"Persons  without health insurance, under age 65 years, percent",9.00%,10.00%,8.30%,4.80%,10.70%,10.20%
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",59.60%,58.20%,51.80%,63.70%,54.30%,64.60%
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",51.00%,53.00%,48.00%,58.80%,47.90%,58.20%
"Total accommodation and food services sales, 2012 ($1,000)","232,910","182,602","157,933","729,652","150,065","22,965,135"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","788,114","427,217",D,"2,102,255","760,956","67,261,267"
"Total manufacturers shipments, 2012 ($1,000)","4,435,633","453,444",D,D,"1,441,125","163,829,606"
"Total merchant wholesaler sales, 2012 ($1,000)","2,260,180","407,625","18,908","1,864,552","508,930","199,804,798"
"Total retail sales, 2012 ($1,000)","1,959,473","1,095,233","102,452","5,087,526","1,012,856","121,389,378"
"Total retail sales per capita, 2012","$7,470 ","$12,527 ","$5,722 ","$19,868 ","$6,654 ","$12,184 "
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",28.6,20.8,26.6,32.6,28.3,31.8
"Median household income (in 2019 dollars), 2015-2019","$53,672 ","$51,416 ","$48,820 ","$115,246 ","$57,585 ","$68,044 "
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","$23,011 ","$29,035 ","$28,757 ","$72,466 ","$22,853 ","$34,156 "
"Persons in poverty, percent",17.00%,14.00%,15.10%,6.90%,17.60%,13.40%
"Total employer establishments, 2018","3,140","2,472",312,"10,091","1,984","280,826"
"Total employment, 2018","46,063","23,683","2,528","101,704","27,141","3,869,073"
"Total annual payroll, 2018 ($1,000)","1,776,766","926,856","87,817","7,392,513","1,216,841","235,841,957"
"Total employment, percent change, 2017-2018",0.80%,Z,2.60%,0.30%,1.40%,1.30%
"Total nonemployer establishments, 2018","11,717","8,390","1,376","38,207","7,504","1,107,080"
"All firms, 2012","12,848","9,569","1,529","39,815","8,094","1,146,701"
"Men-owned firms, 2012","7,163","4,763",733,"19,795","3,888","601,676"
"Women-owned firms, 2012","4,071","3,226",586,"15,500","3,202","439,513"
"Minority-owned firms, 2012","6,912","1,518",189,"5,813","3,203","631,218"
"Nonminority-owned firms, 2012","5,448","7,528","1,246","32,232","4,524","481,643"
"Veteran-owned firms, 2012","1,060",762,162,"3,304",618,"69,608"
"Nonveteran-owned firms, 2012","11,149","8,242","1,285","34,571","7,044","1,044,750"
"Population per square mile, 2010",132.2,25.1,12.6,485.1,70.6,"2,419.60"
"Land area in square miles, 2010","1,934.97","3,506.34","1,448.82",520.31,"2,137.07","4,057.88"
FIPS Code,"""06047""","""06045""","""06043""","""06041""","""06039""","""06037"""
