Fact,"Colusa County, California","Calaveras County, California","Butte County, California","Amador County, California","Alpine County, California","Alameda County, California"
"Total retail sales per capita, 2012","$5,973 ","$5,640 ","$11,632 ","$8,681 ",$510 ,"$13,444 "
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",25.7,38.3,20.9,32.7,18.1,34.3
"Median household income (in 2019 dollars), 2015-2019","$59,401 ","$63,158 ","$52,537 ","$62,772 ","$63,750 ","$99,406 "
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","$26,932 ","$33,456 ","$29,506 ","$31,987 ","$36,739 ","$47,314 "
"Persons in poverty, percent",12.00%,12.10%,16.10%,9.80%,17.20%,8.90%
"Total employer establishments, 2018",378,912,"4,770",831,40,"40,508"
"Total employment, 2018","4,055","6,375","63,965","8,205",521,"698,915"
"Total annual payroll, 2018 ($1,000)","181,095","236,580","2,592,281","322,707","8,855","51,985,434"
"Total employment, percent change, 2017-2018",4.50%,1.50%,2.20%,0.10%,-9.70%,1.20%
"Total nonemployer establishments, 2018","1,051","3,591","13,121","2,835",105,"150,445"
"All firms, 2012","1,138","3,387","16,240","2,807",125,"150,564"
"Men-owned firms, 2012",539,"1,861","8,370","1,383",F,"76,387"
"Women-owned firms, 2012",306,"1,008","5,341",921,49,"57,305"
"Minority-owned firms, 2012",397,291,"1,858",259,F,"75,026"
"Nonminority-owned firms, 2012",656,"2,983","13,644","2,453",115,"69,300"
"Veteran-owned firms, 2012",55,392,"1,766",258,F,"10,213"
"Nonveteran-owned firms, 2012",944,"2,799","13,509","2,363",116,"134,032"
"Population per square mile, 2010",18.6,44.7,134.4,64.1,1.6,"2,043.60"
"Land area in square miles, 2010","1,150.73","1,020.01","1,636.46",594.58,738.33,739.02
FIPS Code,"""06011""","""06009""","""06007""","""06005""","""06003""","""06001"""
