Fact,"Santa Barbara County, California","San Mateo County, California","San Luis Obispo County, California","San Joaquin County, California","San Francisco County, California","San Diego County, California"
"High school graduate or higher, percent of persons age 25 years+, 2015-2019",80.90%,89.60%,91.30%,79.30%,88.50%,87.40%
"Bachelor's degree or higher, percent of persons age 25 years+, 2015-2019",34.20%,51.00%,35.40%,18.80%,58.10%,38.80%
"With a disability, under age 65 years, percent, 2015-2019",6.20%,4.30%,7.10%,8.70%,5.70%,6.20%
"Persons  without health insurance, under age 65 years, percent",11.50%,4.90%,7.40%,7.80%,4.80%,9.20%
"In civilian labor force, total, percent of population age 16 years+, 2015-2019",63.60%,68.80%,57.70%,60.30%,71.10%,63.30%
"In civilian labor force, female, percent of population age 16 years+, 2015-2019",58.30%,63.20%,53.80%,53.60%,67.00%,58.90%
"Total accommodation and food services sales, 2012 ($1,000)","1,428,929","2,552,854","824,771","808,606","6,142,745","10,403,824"
"Total health care and social assistance receipts/revenue, 2012 ($1,000)","2,637,280","5,166,992","1,580,460","3,447,722","10,175,813","21,337,795"
"Total manufacturers shipments, 2012 ($1,000)","4,157,565",D,"2,854,029","9,212,428",D,"33,320,461"
"Total merchant wholesaler sales, 2012 ($1,000)","3,475,600","15,969,681",D,"11,713,538","11,121,715","35,937,366"
"Total retail sales, 2012 ($1,000)","4,853,808","11,330,620","3,624,029","7,059,491","14,632,652","39,786,069"
"Total retail sales per capita, 2012","$11,255 ","$15,326 ","$13,188 ","$10,047 ","$17,718 ","$12,523 "
"Mean travel time to work (minutes), workers age 16 years+, 2015-2019",20.5,29.3,21.7,34.2,33.8,26.5
"Median household income (in 2019 dollars), 2015-2019","$74,624 ","$122,641 ","$73,518 ","$64,432 ","$112,449 ","$78,980 "
"Per capita income in past 12 months (in 2019 dollars), 2015-2019","$36,039 ","$61,545 ","$37,233 ","$27,521 ","$68,883 ","$38,073 "
"Persons in poverty, percent",12.00%,6.10%,11.60%,13.60%,9.50%,10.30%
"Total employer establishments, 2018","11,765","21,480","8,510","11,715","34,671","86,070"
"Total employment, 2018","153,488","399,111","93,500","194,835","673,488","1,291,966"
"Total annual payroll, 2018 ($1,000)","8,503,790","52,803,235","4,350,834","8,815,841","75,901,187","77,600,845"
"Total employment, percent change, 2017-2018",2.50%,3.40%,1.90%,2.00%,3.10%,2.00%
"Total nonemployer establishments, 2018","35,272","73,688","26,143","42,899","100,598","292,941"
"All firms, 2012","39,952","75,507","28,626","41,940","116,803","293,426"
"Men-owned firms, 2012","20,585","39,910","14,544","21,962","63,864","154,416"
"Women-owned firms, 2012","13,911","26,594","9,282","14,941","40,135","105,329"
"Minority-owned firms, 2012","10,340","30,914","4,950","20,472","46,128","106,472"
"Nonminority-owned firms, 2012","27,596","40,894","22,457","19,915","64,708","175,754"
"Veteran-owned firms, 2012","3,254","5,141","2,588","3,449","6,378","25,354"
"Nonveteran-owned firms, 2012","34,332","66,645","24,340","36,663","104,957","255,209"
"Population per square mile, 2010",155,"1,602.20",81.7,492.6,"17,179.10",735.8
"Land area in square miles, 2010","2,735.09",448.41,"3,298.57","1,391.32",46.87,"4,206.63"
FIPS Code,"""06083""","""06081""","""06079""","""06077""","""06075""","""06073"""
